row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id
1411;Baring-Gould, Ceil;30967;40968;0
1412;Cady Stanton, Elizabeth;30968;40969;0
1413;Simoons, Frederick;30933;40933;0
1414;O´Laughlin, Bridget;30938;40970;60288
1415;Smith, Edward;30969;40971;0
1416;Pember Reaves, Maud;30970;40972;0
1417;Hamilton, Cicely;30971;40973;0
1418;Savitt, Todd L.;30972;40974;0
1419;Altschul, Aaron M.;30973;40975;0
1420;Hunscher, Helen;30974;40976;0
1421;Huyck, Margerita;30975;40976;0
1422;Berry, Rynn;30976;40977;0
1423;Douglas, Mary;30396;40978;60301
1424;Morgan, Marabel;30977;40979;0
1425;McCarthy, Mary;30978;40980;0
1426;Dobash, R. Emerson;30979;40981;0
1427;Dobash, Russell;30980;40981;0
1428;Pizey, Erin;30981;40982;0
1429;Whorton, James C.;30982;40983;60302
1430;no name;31035;41047;0
1431;Diamond, Stanley;31036;41048;0
1432;Gioseffi, Daniela;31037;41049;0
1433;Marglin, Frederique;31038;41050;0
1434;Gourlay, K. A.;31039;41051;60314
1435;Walker, Barbara;31040;41052;0
1436;Kimball, Gayle;31041;41053;0
1437;Yinger, J.M.;31042;41054;0
1438;Roseman, Marina;31043;41055;60315
1439;Feld, Stephen;31044;41056;60315
1440;Tatar, Elizabeth;31045;41057;0
1441;Hamel, Peter Michael;30941;40942;0
1442;Snow, Lois Wheeler;31046;41062;0
1443;Beldon, Jack;31047;41063;60316
1444;Macciochi, Maria;31048;41064;60316
1445;Pen, Chi;31049;41065;0
1446;Hunter, Iris;31050;41066;0
1447;Ebon, Martin;31056;41067;0
1448;Miller, Alice;31104;41122;0
1449;Ovid;30005;41123;0
1450;Hermann, Judith;31105;41124;0
1451;Rich, Adrienne;30191;41125;0
1452;Carmen, Elaine;31106;41126;60344
1453;Kirsteva, Julia;31263;41301;0
1454;Moi, Toril;31264;41302;0
1455;Irigary, Luce;31265;41303;60404
1456;Gilbert, Sandra;31097;41110;0
1457;Gubar, Susan;31098;41110;0
1458;Parker, Roszika;31266;41304;0
1459;Pollock, Griselda;31267;41304;0
1460;Irigary, Luce;31265;41305;0
1461;Schor, Naomi;31268;41306;0
1462;Heartney, Eleonore;31269;41307;0
1463;Ozick, Cynthia;31270;41308;0
1464;Kuspit, Donald B.;30857;41309;60405
